minute,rps,hpa_pods,vpa_pods,vpa_cpu_per_pod,rl_pods,keda_pods,latency_penalty
2011-05-01 05:40:00+05:30,171,2,2,0.25,3,4,7.0
2011-05-01 05:41:00+05:30,195,3,2,0.25,3,4,15.0
2011-05-01 05:42:00+05:30,80,3,1,0.25,2,2,0.0
2011-05-01 05:43:00+05:30,339,4,2,0.25,4,5,34.75
2011-05-01 05:44:00+05:30,110,4,2,0.25,2,3,5.0
2011-05-01 05:45:00+05:30,174,4,2,0.25,3,4,8.0
2011-05-01 05:46:00+05:30,107,4,2,0.25,2,3,3.5
2011-05-01 05:47:00+05:30,152,4,2,0.25,3,4,0.6666666666666643
2011-05-01 05:48:00+05:30,124,4,2,0.25,3,3,0.0
2011-05-01 05:49:00+05:30,214,5,3,0.25,4,5,3.5
2011-05-01 05:50:00+05:30,174,5,3,0.25,3,4,8.0
2011-05-01 05:51:00+05:30,179,5,3,0.25,3,4,9.666666666666664
2011-05-01 05:52:00+05:30,113,4,2,0.25,2,3,6.5
2011-05-01 05:53:00+05:30,190,4,2,0.25,3,4,13.333333333333336
2011-05-01 05:54:00+05:30,103,4,2,0.25,2,3,1.5
2011-05-01 05:55:00+05:30,203,5,3,0.25,4,5,0.75
2011-05-01 05:56:00+05:30,92,4,2,0.25,2,2,0.0
2011-05-01 05:57:00+05:30,132,4,2,0.25,3,3,0.0
2011-05-01 05:58:00+05:30,74,3,1,0.25,2,2,0.0
2011-05-01 05:59:00+05:30,77,3,1,0.25,2,2,0.0
2011-05-01 06:00:00+05:30,191,4,2,0.25,3,4,13.666666666666664
2011-05-01 06:01:00+05:30,141,4,2,0.25,3,3,0.0
2011-05-01 06:02:00+05:30,174,4,2,0.25,3,4,8.0
2011-05-01 06:03:00+05:30,164,4,2,0.25,3,4,4.666666666666664
2011-05-01 06:04:00+05:30,124,4,2,0.25,3,3,0.0
2011-05-01 06:05:00+05:30,188,4,2,0.25,3,4,12.666666666666664
2011-05-01 06:06:00+05:30,292,5,3,0.25,4,5,23.0
2011-05-01 06:07:00+05:30,187,5,3,0.25,3,4,12.333333333333336
2011-05-01 06:08:00+05:30,190,5,3,0.25,3,4,13.333333333333336
2011-05-01 06:09:00+05:30,176,5,3,0.25,3,4,8.666666666666664
2011-05-01 06:10:00+05:30,183,5,3,0.25,3,4,11.0
2011-05-01 06:11:00+05:30,123,4,2,0.25,3,3,0.0
2011-05-01 06:12:00+05:30,134,4,2,0.25,3,3,0.0
2011-05-01 06:13:00+05:30,107,4,2,0.25,2,3,3.5
2011-05-01 06:14:00+05:30,93,3,1,0.25,2,2,0.0
2011-05-01 06:15:00+05:30,171,4,2,0.25,3,4,7.0
2011-05-01 06:16:00+05:30,97,3,1,0.25,2,2,0.0
2011-05-01 06:17:00+05:30,87,3,1,0.25,2,2,0.0
2011-05-01 06:18:00+05:30,83,3,1,0.25,2,2,0.0
2011-05-01 06:19:00+05:30,74,2,1,0.25,2,2,0.0
2011-05-01 06:20:00+05:30,173,3,2,0.25,3,4,7.666666666666664
2011-05-01 06:21:00+05:30,79,3,1,0.25,2,2,0.0
2011-05-01 06:22:00+05:30,92,3,1,0.25,2,2,0.0
2011-05-01 06:23:00+05:30,126,3,2,0.25,3,3,0.0
2011-05-01 06:24:00+05:30,82,3,1,0.25,2,2,0.0
2011-05-01 06:25:00+05:30,187,4,2,0.25,3,4,12.333333333333336
2011-05-01 06:26:00+05:30,145,4,2,0.25,3,3,0.0
2011-05-01 06:27:00+05:30,95,3,1,0.25,2,2,0.0
2011-05-01 06:28:00+05:30,112,3,2,0.25,2,3,6.0
2011-05-01 06:29:00+05:30,149,3,2,0.25,3,3,0.0
2011-05-01 06:30:00+05:30,196,4,2,0.25,3,4,15.333333333333329
2011-05-01 06:31:00+05:30,85,3,1,0.25,2,2,0.0
2011-05-01 06:32:00+05:30,149,3,2,0.25,3,3,0.0
2011-05-01 06:33:00+05:30,205,4,3,0.25,4,5,1.25
2011-05-01 06:34:00+05:30,97,3,2,0.25,2,2,0.0
2011-05-01 06:35:00+05:30,191,4,2,0.25,3,4,13.666666666666664
2011-05-01 06:36:00+05:30,84,3,1,0.25,2,2,0.0
2011-05-01 06:37:00+05:30,88,3,1,0.25,2,2,0.0
2011-05-01 06:38:00+05:30,140,3,2,0.25,3,3,0.0
2011-05-01 06:39:00+05:30,129,3,2,0.25,3,3,0.0
2011-05-01 06:40:00+05:30,182,4,2,0.25,3,4,10.666666666666664
2011-05-01 06:41:00+05:30,123,4,2,0.25,3,3,0.0
2011-05-01 06:42:00+05:30,74,3,1,0.25,2,2,0.0
2011-05-01 06:43:00+05:30,264,4,2,0.25,4,5,16.0
2011-05-01 06:44:00+05:30,208,5,3,0.25,4,5,2.0
2011-05-01 06:45:00+05:30,178,5,3,0.25,3,4,9.333333333333336
2011-05-01 06:46:00+05:30,86,4,2,0.25,2,2,0.0
2011-05-01 06:47:00+05:30,157,4,2,0.25,3,4,2.3333333333333357
2011-05-01 06:48:00+05:30,204,5,3,0.25,4,5,1.0
2011-05-01 06:49:00+05:30,129,5,2,0.25,3,3,0.0
2011-05-01 06:50:00+05:30,168,5,2,0.25,3,4,6.0
2011-05-01 06:51:00+05:30,242,5,3,0.25,4,5,10.5
2011-05-01 06:52:00+05:30,121,4,2,0.25,3,3,0.0
2011-05-01 06:53:00+05:30,143,4,2,0.25,3,3,0.0
2011-05-01 06:54:00+05:30,112,4,2,0.25,2,3,6.0
2011-05-01 06:55:00+05:30,164,4,2,0.25,3,4,4.666666666666664
2011-05-01 06:56:00+05:30,91,3,1,0.25,2,2,0.0
2011-05-01 06:57:00+05:30,111,3,2,0.25,2,3,5.5
2011-05-01 06:58:00+05:30,134,3,2,0.25,3,3,0.0
2011-05-01 06:59:00+05:30,73,2,1,0.25,2,2,0.0
2011-05-01 07:00:00+05:30,159,3,2,0.25,3,4,3.0
2011-05-01 07:01:00+05:30,124,3,2,0.25,3,3,0.0
2011-05-01 07:02:00+05:30,134,3,2,0.25,3,3,0.0
2011-05-01 07:03:00+05:30,140,3,2,0.25,3,3,0.0
2011-05-01 07:04:00+05:30,170,4,2,0.25,3,4,6.666666666666664
2011-05-01 07:05:00+05:30,158,4,2,0.25,3,4,2.6666666666666643
2011-05-01 07:06:00+05:30,135,4,2,0.25,3,3,0.0
2011-05-01 07:07:00+05:30,500,5,3,0.25,4,5,75.0
2011-05-01 07:08:00+05:30,209,5,3,0.25,4,5,2.25
2011-05-01 07:09:00+05:30,222,5,3,0.25,4,5,5.5
2011-05-01 07:10:00+05:30,162,5,3,0.25,3,4,4.0
2011-05-01 07:11:00+05:30,156,5,3,0.25,3,4,2.0
2011-05-01 07:12:00+05:30,121,4,2,0.25,3,3,0.0
2011-05-01 07:13:00+05:30,129,4,2,0.25,3,3,0.0
2011-05-01 07:14:00+05:30,113,4,2,0.25,2,3,6.5
2011-05-01 07:15:00+05:30,156,4,2,0.25,3,4,2.0
2011-05-01 07:16:00+05:30,124,4,2,0.25,3,3,0.0
2011-05-01 07:17:00+05:30,136,4,2,0.25,3,3,0.0
2011-05-01 07:18:00+05:30,177,4,2,0.25,3,4,9.0
2011-05-01 07:19:00+05:30,199,4,2,0.25,3,4,16.33333333333333
2011-05-01 07:20:00+05:30,163,4,2,0.25,3,4,4.333333333333336
2011-05-01 07:21:00+05:30,160,4,2,0.25,3,4,3.3333333333333357
2011-05-01 07:22:00+05:30,190,4,2,0.25,3,4,13.333333333333336
2011-05-01 07:23:00+05:30,357,5,3,0.25,4,5,39.25
2011-05-01 07:24:00+05:30,187,5,3,0.25,3,4,12.333333333333336
2011-05-01 07:25:00+05:30,171,5,3,0.25,3,4,7.0
