minute,req_per_sec
2011-05-01 05:40:00+05:30,171
2011-05-01 05:41:00+05:30,195
2011-05-01 05:42:00+05:30,80
2011-05-01 05:43:00+05:30,339
2011-05-01 05:44:00+05:30,110
2011-05-01 05:45:00+05:30,174
2011-05-01 05:46:00+05:30,107
2011-05-01 05:47:00+05:30,152
2011-05-01 05:48:00+05:30,124
2011-05-01 05:49:00+05:30,214
2011-05-01 05:50:00+05:30,174
2011-05-01 05:51:00+05:30,179
2011-05-01 05:52:00+05:30,113
2011-05-01 05:53:00+05:30,190
2011-05-01 05:54:00+05:30,103
2011-05-01 05:55:00+05:30,203
2011-05-01 05:56:00+05:30,92
2011-05-01 05:57:00+05:30,132
2011-05-01 05:58:00+05:30,74
2011-05-01 05:59:00+05:30,77
2011-05-01 06:00:00+05:30,191
2011-05-01 06:01:00+05:30,141
2011-05-01 06:02:00+05:30,174
2011-05-01 06:03:00+05:30,164
2011-05-01 06:04:00+05:30,124
2011-05-01 06:05:00+05:30,188
2011-05-01 06:06:00+05:30,292
2011-05-01 06:07:00+05:30,187
2011-05-01 06:08:00+05:30,190
2011-05-01 06:09:00+05:30,176
2011-05-01 06:10:00+05:30,183
2011-05-01 06:11:00+05:30,123
2011-05-01 06:12:00+05:30,134
2011-05-01 06:13:00+05:30,107
2011-05-01 06:14:00+05:30,93
2011-05-01 06:15:00+05:30,171
2011-05-01 06:16:00+05:30,97
2011-05-01 06:17:00+05:30,87
2011-05-01 06:18:00+05:30,83
2011-05-01 06:19:00+05:30,74
2011-05-01 06:20:00+05:30,173
2011-05-01 06:21:00+05:30,79
2011-05-01 06:22:00+05:30,92
2011-05-01 06:23:00+05:30,126
2011-05-01 06:24:00+05:30,82
2011-05-01 06:25:00+05:30,187
2011-05-01 06:26:00+05:30,145
2011-05-01 06:27:00+05:30,95
2011-05-01 06:28:00+05:30,112
2011-05-01 06:29:00+05:30,149
2011-05-01 06:30:00+05:30,196
2011-05-01 06:31:00+05:30,85
2011-05-01 06:32:00+05:30,149
2011-05-01 06:33:00+05:30,205
2011-05-01 06:34:00+05:30,97
2011-05-01 06:35:00+05:30,191
2011-05-01 06:36:00+05:30,84
2011-05-01 06:37:00+05:30,88
2011-05-01 06:38:00+05:30,140
2011-05-01 06:39:00+05:30,129
2011-05-01 06:40:00+05:30,182
2011-05-01 06:41:00+05:30,123
2011-05-01 06:42:00+05:30,74
2011-05-01 06:43:00+05:30,264
2011-05-01 06:44:00+05:30,208
2011-05-01 06:45:00+05:30,178
2011-05-01 06:46:00+05:30,86
2011-05-01 06:47:00+05:30,157
2011-05-01 06:48:00+05:30,204
2011-05-01 06:49:00+05:30,129
2011-05-01 06:50:00+05:30,168
2011-05-01 06:51:00+05:30,242
2011-05-01 06:52:00+05:30,121
2011-05-01 06:53:00+05:30,143
2011-05-01 06:54:00+05:30,112
2011-05-01 06:55:00+05:30,164
2011-05-01 06:56:00+05:30,91
2011-05-01 06:57:00+05:30,111
2011-05-01 06:58:00+05:30,134
2011-05-01 06:59:00+05:30,73
2011-05-01 07:00:00+05:30,159
2011-05-01 07:01:00+05:30,124
2011-05-01 07:02:00+05:30,134
2011-05-01 07:03:00+05:30,140
2011-05-01 07:04:00+05:30,170
2011-05-01 07:05:00+05:30,158
